name,description,url,category,popularity_score,project_tags,production_ready,learning_value,sacred_circuits_relevance,alternatives,domain_tags,notes
JsBarcode,"Barcode generation library for JavaScript",https://js.libhunt.com/compare-jsbarcode-vs-pixi-js,Image Processing,7.5,Infrastructure,true,low,low,"qrcode.js|bwip-js",barcode|generation|svg,"QR code generation for oracle cards"
ART,"Retained-mode vector drawing API for SVG Canvas and VML",https://js.libhunt.com/compare-art-vs-pixi-js,Canvas/SVG,6.0,Constellation,false,medium,low,"paper.js|svg.js|raphael",vector|svg|canvas,"Legacy vector drawing API"
Vega,"Visualization grammar for creating and sharing interactive data visualization designs",https://js.libhunt.com/d3-alternatives,Data Visualization,8.5,Constellation,true,high,medium,"d3.js|echarts|plotly",visualization|grammar|declarative,"Declarative visualization grammar"
Highcharts,"Interactive JavaScript charting library with broad browser support",https://js.libhunt.com/d3-alternatives,Data Visualization,9.0,Constellation,true,high,low,"echarts|chart.js|amcharts",chart|commercial|interactive,"Commercial charting option"
Plotly.js,"Open-source JavaScript graphing library built on D3 and WebGL",https://js.libhunt.com/d3-alternatives,Data Visualization,9.0,Constellation,true,high,medium,"d3.js|echarts|highcharts",chart|scientific|webgl,"Scientific visualization with WebGL"
ApexCharts,"Modern interactive open-source charting library",https://js.libhunt.com/chart-js-alternatives,Data Visualization,8.8,Constellation|Wall,true,high,low,"chart.js|echarts|recharts",chart|interactive|modern,"Modern charting alternative"
billboard.js,"Re-usable easy-to-use D3-based chart library",https://js.libhunt.com/chart-js-alternatives,Data Visualization,7.5,Constellation,true,medium,low,"c3|chart.js|frappe-charts",chart|d3|reusable,"D3 chart wrapper"
nivo,"Rich set of data visualization components built on D3 and React",https://js.libhunt.com/recharts-alternatives,Data Visualization,8.8,Constellation|Wall,true,high,medium,"recharts|victory|visx",chart|react|d3|beautiful,"Beautiful React data visualizations"
visx,"Collection of reusable low-level visualization components for React from Airbnb",https://js.libhunt.com/recharts-alternatives,Data Visualization,8.5,Constellation|Wall,true,high,medium,"d3.js|recharts|nivo",chart|react|d3|low-level,"Low-level React visualization primitives"
Swup,"Versatile and extensible page transition library for server-rendered websites",https://js.libhunt.com/categories/102-animations,Animation,7.5,Wall|Pantheon,true,medium,medium,"barba.js|turbo|highway",page-transition|smooth|pjax,"Page transition alternative to barba.js"
lottie-web,"Render After Effects animations natively on web and mobile",https://js.libhunt.com/libs/animation,Animation,9.5,Pantheon|Orbs,true,high,high,"rive|gsap|bodymovin",animation|after-effects|json,"Deity animation playback from After Effects"
Rive,"Runtime for interactive animations on web mobile and desktop",https://js.libhunt.com/libs/animation,Animation,9.0,Pantheon|Orbs,true,high,high,"lottie-web|gsap|spine",animation|interactive|runtime,"Interactive deity animations"
Framer Motion,"Production-ready motion library for React with declarative API",https://js.libhunt.com/libs/animation,Animation,9.5,Pantheon|Wall,true,high,high,"gsap|react-spring|motion-one",animation|react|spring,"React component animations for oracle UI"
react-spring,"Spring-physics based React animation library",https://js.libhunt.com/libs/animation,Animation,8.8,Pantheon|Wall,true,high,medium,"framer-motion|gsap|popmotion",animation|react|physics,"Physics-based React animations"
Popmotion,"Functional reactive animation library",https://js.libhunt.com/libs/animation,Animation,8.0,Pantheon,true,medium,medium,"gsap|framer-motion|motion-one",animation|functional|reactive,"Functional animation engine"
Motion One,"New animation library built on the Web Animations API",https://js.libhunt.com/libs/animation,Animation,8.0,Pantheon|Wall,true,high,medium,"gsap|framer-motion|anime.js",animation|waapi|modern,"Modern WAAPI-based animations"
cannon-es,"Lightweight 3D physics engine for the web (ES module fork of cannon.js)",https://js.libhunt.com/matter-js-alternatives,Physics,8.0,Orbs,true,high,medium,"rapier|matter.js|ammo.js",physics|3d|rigid-body,"3D physics for Spirit Sphere"
ammo.js,"Direct port of Bullet Physics to JavaScript using Emscripten",https://js.libhunt.com/engine-alternatives,Physics,7.5,Orbs,true,medium,low,"cannon-es|rapier|oimo.js",physics|3d|bullet,"Heavy-duty 3D physics"
Rapier,"Fast deterministic cross-platform physics engine in Rust/WASM",https://js.libhunt.com/matter-js-alternatives,Physics,8.5,Orbs,true,high,medium,"cannon-es|matter.js|ammo.js",physics|wasm|3d,"WASM-accelerated physics"
stats.js,"JavaScript performance monitor for FPS MS and custom panels",https://js.libhunt.com/dat-gui-alternatives,Debug/Tools,8.0,Infrastructure|Orbs,true,high,medium,"dat.gui|tweakpane|spector.js",debug|performance|fps,"Performance monitoring for 3D scenes"
Tweakpane,"Compact pane library for fine-tuning parameters and monitoring values",https://js.libhunt.com/dat-gui-alternatives,Debug/Tools,8.5,Orbs|Infrastructure,true,high,high,"dat.gui|lil-gui|stats.js",gui|debug|parameters,"Modern parameter tuning for 3D"
lil-gui,"Drop-in replacement for dat.gui with modern features",https://js.libhunt.com/dat-gui-alternatives,Debug/Tools,8.0,Orbs|Infrastructure,true,high,medium,"dat.gui|tweakpane|stats.js",gui|debug|lightweight,"Lightweight dat.gui replacement"
JointJS,"JavaScript diagramming library for interactive flowcharts and visual tools",https://js.libhunt.com/libs/svg,Data Visualization,8.0,Constellation,true,high,medium,"mermaid|gojs|cytoscape",diagram|flowchart|svg,"Knowledge graph visualization"
Cytoscape.js,"Graph theory analysis and visualization library",https://js.libhunt.com/d3-alternatives,Data Visualization,8.5,Constellation,true,high,high,"d3.js|sigma.js|vis.js",graph|network|analysis,"Mythology relationship graphs"
sigma.js,"JavaScript library for drawing graphs and networks",https://js.libhunt.com/d3-alternatives,Data Visualization,8.0,Constellation,true,medium,high,"cytoscape|d3.js|vis.js",graph|network|webgl,"Network graph visualization"
vis.js,"Dynamic browser-based visualization library for networks timelines and datasets",https://js.libhunt.com/d3-alternatives,Data Visualization,8.0,Constellation,true,medium,medium,"cytoscape|sigma.js|d3.js",network|timeline|dataset,"Timeline and network visualization"
mermaid,"Markdown-inspired diagramming and charting tool",https://js.libhunt.com/d3-alternatives,Data Visualization,9.5,Constellation|Infrastructure,true,high,low,"d3.js|jointjs|plantuml",diagram|markdown|flowchart,"Documentation diagrams"
GoJS,"JavaScript/TypeScript library for interactive diagrams and complex visualizations",https://js.libhunt.com/libs/svg,Data Visualization,8.5,Constellation,true,high,low,"jointjs|cytoscape|mermaid",diagram|interactive|commercial,"Commercial diagramming"
Treemap,"D3 treemap visualization component",https://js.libhunt.com/libs/canvas/data-visualization/svg/treemap,Data Visualization,6.5,Constellation,true,medium,low,"d3.js|echarts|plotly",treemap|hierarchical|d3,"Hierarchical data visualization"
Spector.js,"WebGL inspector for debugging and profiling WebGL scenes",https://js.libhunt.com/libs/webgl,Debug/Tools,7.5,Orbs|Infrastructure,true,high,medium,"chrome-devtools|renderdoc",webgl|debug|inspector,"WebGL debugging for Spirit Sphere"
ogl,"Minimal WebGL library with GPU-accelerated rendering",https://js.libhunt.com/libs/webgl,WebGL/3D,7.5,Orbs,true,high,medium,"three.js|regl|twgl",webgl|minimal|gpu,"Minimal WebGL alternative to Three.js"
regl,"Functional WebGL programming interface",https://js.libhunt.com/libs/webgl,WebGL/3D,8.0,Orbs,true,high,medium,"three.js|ogl|twgl",webgl|functional|stateless,"Functional WebGL for custom shaders"
TWGL,"Tiny WebGL helper library making WebGL less verbose",https://js.libhunt.com/libs/webgl,WebGL/3D,7.5,Orbs,true,medium,medium,"regl|ogl|three.js",webgl|helper|lightweight,"WebGL utility wrapper"
deck.gl,"WebGL2-powered framework for visual exploratory data analysis of large datasets",https://js.libhunt.com/d3-alternatives,Data Visualization,9.0,Constellation|Orbs,true,high,medium,"kepler.gl|mapbox|cesium",visualization|webgl|geospatial,"Large-scale data visualization"
Lenis,"Smooth scroll library with modern API",https://js.libhunt.com/locomotive-scroll-alternatives,Scroll,8.8,Ritual|Wall,true,high,medium,"locomotive-scroll|scrollmagic|smooth-scrollbar",scroll|smooth|modern,"Modern smooth scrolling"
GSAP ScrollTrigger,"Scroll-driven animation plugin for GSAP",https://js.libhunt.com/scrollmagic-alternatives,Scroll/Animation,9.5,Ritual|Pantheon,true,high,high,"scrollmagic|locomotive-scroll|lenis",scroll|animation|gsap,"Primary scroll animation for oracle reveals"
Typed.js,"JavaScript typing animation library",https://js.libhunt.com/typical-alternatives,Animation,8.0,Wall|Pantheon,true,medium,high,"typicaljs|typewriter-effect",animation|typing|text,"Oracle prophecy text animation"
canvas-confetti,"Performant confetti animation in the browser with no dependencies",https://js.libhunt.com/tsparticles-alternatives,Animation,8.5,Pantheon|Orbs,true,medium,medium,"tsparticles|particles.js",confetti|celebration|canvas,"Card reveal celebration effects"
