name,source,category,subcategory,type,url,description,project_tags,domain_tags,production_ready,learning_value,blender_dep,sacred_circuits_relevance,priority_score,related_apis,example_count,notes
Frappe Charts,awesome-js,Data Visualization,Charts,library,https://frappe.io/charts,Simple responsive modern SVG charts,Wall,charts|svg|lightweight,0.7,0.7,0.0,0.3,0.79,,0,Minimal chart library
TweenJS,awesome-js,Animation,Tweening,library,https://www.createjs.com/tweenjs,Tweening and animation library from CreateJS,Pantheon|Orbs,animation|tweening|createjs,0.7,0.7,0.0,0.6,0.79,,0,Part of CreateJS suite
Mithril.js,awesome-js,UI,Framework,library,https://mithril.js.org/,Client-side MVC framework under 10kb,Wall,ui|mvc|routing|lightweight,0.7,0.7,0.0,0.3,0.79,,0,Tiny full-featured framework
Million,awesome-js,UI,Framework,library,https://million.dev/,Sub-1kb compiler-focused virtual DOM,Wall,ui|virtual-dom|compiler|performance,0.7,0.7,0.0,0.3,0.79,,0,React performance optimizer
Parsley.js,awesome-js,Forms,Validation,library,https://parsleyjs.org/,Frontend form validation library,Wall,forms|validation|frontend|ui,0.7,0.7,0.0,0.3,0.79,,0,Form validation for oracle card input
vest,awesome-js,Forms,Validation,library,https://vestjs.dev/,Declarative form validation inspired by testing,Wall,validation|forms|declarative,0.7,0.7,0.0,0.3,0.79,,0,Testing-style form validation
impress.js,awesome-js,UI,Presentation,library,https://impress.js.org/,Prezi-like presentation framework,Wall,presentation|3d|css3|transitions,0.7,0.7,0.0,0.4,0.79,,0,3D presentation effects
ProgressBar.js,awesome-js,UI,Progress,library,https://kimmobrunfeldt.github.io/progressbar.js/,Responsive animated progress bars,Wall|Orbs,progress|animation|svg|shapes,0.7,0.7,0.0,0.5,0.79,,0,Animated progress indicators
iziToast,awesome-js,UI,Notification,library,https://izitoast.marcelodolza.com/,Elegant responsive notification plugin,Wall,notification|toast|responsive,0.7,0.7,0.0,0.3,0.79,,0,Styled notifications
notie,awesome-js,UI,Notification,library,https://jaredreich.com/notie/,Clean notification and input suite,Wall,notification|input|modal|vanilla,0.7,0.7,0.0,0.3,0.79,,0,No-dependency notifications
toastify-js,awesome-js,UI,Notification,library,https://apvarun.github.io/toastify-js/,Pure JavaScript toast notification library,Wall,notification|toast|vanilla,0.7,0.7,0.0,0.3,0.79,,0,Pure JS toasts
Notyf,awesome-js,UI,Notification,library,https://carlosroso.com/notyf/,Minimalistic responsive toast library,Wall,notification|toast|accessible|minimal,0.7,0.7,0.0,0.3,0.79,,0,Accessible minimal toasts
Nightwatch.js,awesome-js,Testing,E2E,library,https://nightwatchjs.org/,E2E testing against Selenium server,Infrastructure,testing|e2e|selenium|browser,0.7,0.7,0.0,0.3,0.79,,0,Selenium-based E2E
Recoil,awesome-js,State Management,Atomic,library,https://recoiljs.org/,State management for React from Facebook,Wall,state|react|atoms|selectors,0.7,0.7,0.0,0.3,0.79,,0,Facebook's atomic state
Moment.js,awesome-js,Date/Time,General,library,https://momentjs.com/,Parse validate manipulate and display dates,Infrastructure,date|time|parse|format,0.7,0.7,0.0,0.3,0.79,,0,Legacy date library (use dayjs/date-fns)
Tempo,awesome-js,Date/Time,General,library,https://tempo.formkit.com/,Tree-shakable date library for native Date,Infrastructure,date|time|tree-shakable|lightweight,0.7,0.7,0.0,0.3,0.79,,0,Lightweight date utility
timeago.js,awesome-js,Date/Time,Relative,library,https://timeago.org/,Sub-2kb time-ago formatting library,Wall,date|time|relative|formatting,0.7,0.7,0.0,0.3,0.79,,0,Relative time formatting
sql.js,awesome-js,Utilities,Storage,library,https://sql.js.org/,SQLite compiled to JavaScript via Emscripten,Infrastructure,database|sqlite|wasm|browser,0.7,0.7,0.0,0.3,0.79,,0,SQLite in browser
TinyColor,awesome-js,Utilities,Color,library,https://bgrins.github.io/TinyColor/,Fast small color manipulation and conversion,Orbs|Wall,color|conversion|parsing|manipulation,0.7,0.7,0.0,0.4,0.79,,0,Lightweight color utility
Chance.js,awesome-js,Utilities,Random,library,https://chancejs.com/,Random generator for strings numbers and more,Infrastructure,random|generator|testing|data,0.7,0.7,0.0,0.3,0.79,,0,Random data generation
medium-editor,awesome-js,Editors,Rich Text,library,https://yabwe.github.io/medium-editor/,Medium.com WYSIWYG editor clone,Wall,editor|wysiwyg|medium|lightweight,0.7,0.7,0.0,0.3,0.79,,0,Clean minimal editor
Frappe Datatable,awesome-js,UI,Table,library,https://frappe.io/datatable,Simple modern interactive datatable library,Wall,table|datatable|interactive|lightweight,0.7,0.7,0.0,0.3,0.79,,0,Lightweight data table
Jspreadsheet CE,awesome-js,UI,Spreadsheet,library,https://bossanova.uk/jspreadsheet/,Lightweight vanilla JS interactive tables,Wall,spreadsheet|table|vanilla|interactive,0.7,0.7,0.0,0.3,0.79,,0,Community edition spreadsheet
RevoGrid,awesome-js,UI,Table,library,https://revolist.github.io/revogrid/,Fast responsive Excel-like data grid,Wall,table|grid|virtual|performance,0.7,0.7,0.0,0.3,0.79,,0,Virtual scrolling grid
Vis Timeline,awesome-js,UI,Timeline,library,https://visjs.org/,Interactive timelines and 2D graphs,Wall|Constellation,timeline|interactive|graph|network,0.7,0.7,0.0,0.5,0.79,,0,Interactive timeline and network
React-Chrono,awesome-js,UI,Timeline,library,https://react-chrono.prabhumurthy.com/,React timeline component in various formats,Wall,timeline|react|interactive|modes,0.7,0.7,0.0,0.4,0.79,,0,React timeline component
Brain.js,awesome-js,Machine Learning,Neural Network,library,https://brain.js.org/,GPU-accelerated neural networks in JavaScript,Infrastructure,ml|neural-network|gpu|browser,0.7,0.7,0.0,0.3,0.79,,0,Simple neural networks
TypeIt,awesome-js,Typography,Animation,library,https://typeitjs.com/,Most versatile JavaScript typewriter effect,Wall|Pantheon,typography|typewriter|animation,0.7,0.7,0.0,0.5,0.79,,0,Typewriter effect for oracle text
blessed-contrib,awesome-js,Utilities,Terminal,library,https://github.com/yaronn/blessed-contrib,Terminal dashboard widgets with ASCII art,Infrastructure,terminal|dashboard|ascii|charts,0.7,0.7,0.0,0.3,0.79,,0,Terminal data visualization
Deepstream.io,awesome-js,HTTP,Realtime,library,https://deepstream.io/,Realtime server for collaborative applications,Infrastructure,realtime|server|data-sync|rpc,0.7,0.7,0.0,0.3,0.79,,0,Real-time data sync
Remult,awesome-js,Utilities,CRUD,library,https://remult.dev/,CRUD framework for full-stack TypeScript,Infrastructure,crud|typescript|fullstack|orm,0.7,0.7,0.0,0.3,0.79,,0,Full-stack CRUD framework
Cannon-es,awesome-js,WebGL/3D,Physics,library,https://pmndrs.github.io/cannon-es/,Lightweight 3D physics engine,Orbs,physics|3d|simulation|collision,0.7,0.7,0.0,0.6,0.79,,0,3D physics for particle effects
particlesJS,awesome-js,Animation,Particles,library,https://vincentgarreau.com/particles.js/,Lightweight particles animation library,Orbs|Constellation,particles|canvas|animation|background,0.7,0.7,0.0,0.8,0.79,,0,Particle effects for Orb background
TWGL.js,awesome-js,WebGL/3D,Utility,library,https://twgljs.org/,Tiny WebGL helper library,Orbs,webgl|utility|helper|lightweight,0.7,0.7,0.0,0.4,0.79,,0,WebGL boilerplate reducer
Popmotion,awesome-js,Animation,General,library,https://popmotion.io/,Animator's toolbox for JavaScript,Pantheon|Wall,animation|physics|spring|decay,0.7,0.7,0.0,0.5,0.79,,0,Functional animation primitives
Snap.svg,awesome-js,Canvas,SVG,library,http://snapsvg.io/,SVG animation library by Adobe,Constellation,svg|animation|vector|adobe,0.7,0.7,0.0,0.5,0.79,,0,SVG manipulation and animation
Rellax,awesome-js,Animation,Parallax,library,https://dixonandmoe.com/rellax/,Lightweight vanilla parallax library,Wall,parallax|scroll|lightweight|vanilla,0.7,0.7,0.0,0.3,0.79,,0,Simple parallax effects
Splitting.js,awesome-js,Typography,Text Effects,library,https://splitting.js.org/,CSS variable-driven text splitting,Wall|Pantheon,typography|splitting|css-variables|animation,0.7,0.7,0.0,0.5,0.79,,0,Text splitting for deity name animations
virtual-audio-graph,web-audio,Audio Library,Abstraction,library,https://virtual-audio-graph.netlify.com/,Declarative React-inspired API overlay for Web Audio API state management,Orbs,,0.7,0.7,0.0,0.4,0.79,Web Audio API|AudioNode,0,2.4KB; React-like approach to audio graph management
UniformsUtils,threejs-docs,Renderers,Shaders,api,https://threejs.org/docs/#api/en/renderers/shaders/UniformsUtils,Utility for cloning and merging shader uniforms,Orbs,shaders,0.8,0.6,0.1,0.5,0.78,,0,Utility for cloning and merging shader uniforms
WebGL,threejs-docs,Addons,Capabilities,api,https://threejs.org/docs/#examples/en/capabilities/WebGL,WebGL feature detection and capability checking,Orbs,capabilities,0.8,0.6,0.1,0.5,0.78,,0,WebGL feature detection and capability checking
Font,threejs-docs,Addons,Loaders,api,https://threejs.org/docs/#examples/en/loaders/Font,Font data class for TextGeometry,Wall|Pantheon,loaders,0.8,0.6,0.1,0.5,0.78,,0,Font data class for TextGeometry
AnimationObjectGroup,threejs-docs,Reference,Animation,api,https://threejs.org/docs/#api/en/animation/AnimationObjectGroup,,Pantheon,animation|loading,0.7,0.7,0.1,0.5,0.77,,16,
AnimationUtils,threejs-docs,Reference,Animation,api,https://threejs.org/docs/#api/en/animation/AnimationUtils,,Pantheon,animation,0.7,0.7,0.1,0.5,0.77,,16,
BooleanKeyframeTrack,threejs-docs,Reference,Animation,api,https://threejs.org/docs/#api/en/animation/tracks/BooleanKeyframeTrack,,Pantheon,animation,0.7,0.7,0.1,0.5,0.77,,16,
ColorKeyframeTrack,threejs-docs,Reference,Animation,api,https://threejs.org/docs/#api/en/animation/tracks/ColorKeyframeTrack,,Pantheon,animation|math,0.7,0.7,0.1,0.5,0.77,,16,
NumberKeyframeTrack,threejs-docs,Reference,Animation,api,https://threejs.org/docs/#api/en/animation/tracks/NumberKeyframeTrack,,Pantheon,animation,0.7,0.7,0.1,0.5,0.77,,16,
PropertyBinding,threejs-docs,Reference,Animation,api,https://threejs.org/docs/#api/en/animation/PropertyBinding,,Orbs,animation,0.7,0.7,0.1,0.5,0.77,,16,
PropertyMixer,threejs-docs,Reference,Animation,api,https://threejs.org/docs/#api/en/animation/PropertyMixer,,Pantheon,animation,0.7,0.7,0.1,0.5,0.77,,16,
QuaternionKeyframeTrack,threejs-docs,Reference,Animation,api,https://threejs.org/docs/#api/en/animation/tracks/QuaternionKeyframeTrack,,Pantheon,animation|math,0.7,0.7,0.1,0.5,0.77,,16,
StringKeyframeTrack,threejs-docs,Reference,Animation,api,https://threejs.org/docs/#api/en/animation/tracks/StringKeyframeTrack,,Pantheon,animation,0.7,0.7,0.1,0.5,0.77,,16,
VectorKeyframeTrack,threejs-docs,Reference,Animation,api,https://threejs.org/docs/#api/en/animation/tracks/VectorKeyframeTrack,,Pantheon,animation|math,0.7,0.7,0.1,0.5,0.77,,16,
AudioAnalyser,threejs-docs,Reference,Audio,api,https://threejs.org/docs/#api/en/audio/AudioAnalyser,,Pantheon,audio,0.7,0.7,0.1,0.5,0.77,,4,
AudioContext,threejs-docs,Reference,Audio,api,https://threejs.org/docs/#api/en/audio/AudioContext,,Pantheon|Wall,audio,0.7,0.7,0.1,0.5,0.77,,4,
PositionalAudio,threejs-docs,Reference,Audio,api,https://threejs.org/docs/#api/en/audio/PositionalAudio,,Pantheon,audio,0.7,0.7,0.1,0.5,0.77,Audio|AudioListener|Object3D,4,
ArrayCamera,threejs-docs,Reference,Cameras,api,https://threejs.org/docs/#api/en/cameras/ArrayCamera,,Constellation|Ritual,math|xr,0.7,0.7,0.1,0.5,0.77,,6,
CubeCamera,threejs-docs,Reference,Cameras,api,https://threejs.org/docs/#api/en/cameras/CubeCamera,,Constellation,rendering,0.7,0.7,0.1,0.5,0.77,,6,
StereoCamera,threejs-docs,Reference,Cameras,api,https://threejs.org/docs/#api/en/cameras/StereoCamera,,Constellation,rendering,0.7,0.7,0.1,0.5,0.77,,6,
InstancedBufferGeometry,threejs-docs,Reference,Core,api,https://threejs.org/docs/#api/en/core/InstancedBufferGeometry,,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,2,
CapsuleGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/CapsuleGeometry,,Orbs,geometry|math,0.7,0.7,0.1,0.5,0.77,,18,
CircleGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/CircleGeometry,,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,18,
ConeGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/ConeGeometry,,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,18,
DodecahedronGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/DodecahedronGeometry,,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,18,
EdgesGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/EdgesGeometry,,Constellation,geometry,0.7,0.7,0.1,0.5,0.77,,18,
IcosahedronGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/IcosahedronGeometry,,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,18,
OctahedronGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/OctahedronGeometry,,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,18,
PolyhedronGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/PolyhedronGeometry,,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,18,
RingGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/RingGeometry,,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,18,
TetrahedronGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/TetrahedronGeometry,,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,18,
TorusGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/TorusGeometry,,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,18,
TorusKnotGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/TorusKnotGeometry,,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,18,
WireframeGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/WireframeGeometry,,Constellation,geometry,0.7,0.7,0.1,0.5,0.77,,18,
DirectionalLightShadow,threejs-docs,Reference,Lights,api,https://threejs.org/docs/#api/en/lights/shadows/DirectionalLightShadow,,Orbs,lighting|materials,0.7,0.7,0.1,0.5,0.77,,15,
LightProbe,threejs-docs,Reference,Lights,api,https://threejs.org/docs/#api/en/lights/LightProbe,,Orbs,lighting,0.7,0.7,0.1,0.5,0.77,,21,
LightShadow,threejs-docs,Reference,Lights,api,https://threejs.org/docs/#api/en/lights/shadows/LightShadow,,Orbs,lighting|materials,0.7,0.7,0.1,0.5,0.77,,15,
PointLightShadow,threejs-docs,Reference,Lights,api,https://threejs.org/docs/#api/en/lights/shadows/PointLightShadow,,Orbs,lighting|materials,0.7,0.7,0.1,0.5,0.77,,15,
SpotLightShadow,threejs-docs,Reference,Lights,api,https://threejs.org/docs/#api/en/lights/shadows/SpotLightShadow,,Orbs,lighting|materials,0.7,0.7,0.1,0.5,0.77,,15,
LineDashedMaterial,threejs-docs,Reference,Materials,api,https://threejs.org/docs/#api/en/materials/LineDashedMaterial,,Constellation|Orbs,materials,0.7,0.7,0.1,0.5,0.77,,22,
MeshDepthMaterial,threejs-docs,Reference,Materials,api,https://threejs.org/docs/#api/en/materials/MeshDepthMaterial,,Orbs,geometry|materials|textures,0.7,0.7,0.1,0.5,0.77,,22,
MeshDistanceMaterial,threejs-docs,Reference,Materials,api,https://threejs.org/docs/#api/en/materials/MeshDistanceMaterial,,Orbs,geometry|materials,0.7,0.7,0.1,0.5,0.77,,22,
MeshNormalMaterial,threejs-docs,Reference,Materials,api,https://threejs.org/docs/#api/en/materials/MeshNormalMaterial,,Orbs,geometry|materials,0.7,0.7,0.1,0.5,0.77,,22,
RawShaderMaterial,threejs-docs,Reference,Materials,api,https://threejs.org/docs/#api/en/materials/RawShaderMaterial,,Orbs,materials|rendering,0.7,0.7,0.1,0.5,0.77,,22,
CanvasTexture,threejs-docs,Reference,Textures,api,https://threejs.org/docs/#api/en/textures/CanvasTexture,,Wall,rendering|textures,0.7,0.7,0.1,0.5,0.77,,13,
CompressedTexture,threejs-docs,Reference,Textures,api,https://threejs.org/docs/#api/en/textures/CompressedTexture,,Wall,textures,0.7,0.7,0.1,0.5,0.77,,13,
Data3DTexture,threejs-docs,Reference,Textures,api,https://threejs.org/docs/#api/en/textures/Data3DTexture,,Wall,textures,0.7,0.7,0.1,0.5,0.77,,7,
DataArrayTexture,threejs-docs,Reference,Textures,api,https://threejs.org/docs/#api/en/textures/DataArrayTexture,,Ritual|Wall,math|postprocessing|textures|xr,0.7,0.7,0.1,0.5,0.77,,13,
FramebufferTexture,threejs-docs,Reference,Textures,api,https://threejs.org/docs/#api/en/textures/FramebufferTexture,,Wall,geometry|textures,0.7,0.7,0.1,0.5,0.77,,13,
WebXRManager,threejs-docs,Reference,Renderers,api,https://threejs.org/docs/#api/en/renderers/webxr/WebXRManager,,Ritual,rendering|xr,0.7,0.7,0.1,0.5,0.77,,19,
XRManager,threejs-docs,Reference,Renderers,api,https://threejs.org/docs/#api/en/renderers/webxr/XRManager,,Ritual,rendering|xr,0.7,0.7,0.1,0.5,0.77,,19,
ArcballControls,threejs-docs,Addons,Controls,api,https://threejs.org/docs/#examples/en/controls/ArcballControls,Addon/Example class,Ritual,interaction|xr,0.7,0.7,0.1,0.5,0.77,,8,Addon/Example class
DragControls,threejs-docs,Addons,Controls,api,https://threejs.org/docs/#examples/en/controls/DragControls,Addon/Example class,Ritual,interaction,0.7,0.7,0.1,0.5,0.77,,8,Addon/Example class
FirstPersonControls,threejs-docs,Addons,Controls,api,https://threejs.org/docs/#examples/en/controls/FirstPersonControls,Addon/Example class,Ritual,interaction,0.7,0.7,0.1,0.5,0.77,,8,Addon/Example class
FlyControls,threejs-docs,Addons,Controls,api,https://threejs.org/docs/#examples/en/controls/FlyControls,Addon/Example class,Ritual,interaction,0.7,0.7,0.1,0.5,0.77,,8,Addon/Example class
MapControls,threejs-docs,Addons,Controls,api,https://threejs.org/docs/#examples/en/controls/MapControls,Addon/Example class,Ritual,interaction,0.7,0.7,0.1,0.5,0.77,,8,Addon/Example class
PointerLockControls,threejs-docs,Addons,Controls,api,https://threejs.org/docs/#examples/en/controls/PointerLockControls,Addon/Example class,Ritual,interaction|lighting,0.7,0.7,0.1,0.5,0.77,,8,Addon/Example class
TrackballControls,threejs-docs,Addons,Controls,api,https://threejs.org/docs/#examples/en/controls/TrackballControls,Addon/Example class,Ritual,interaction,0.7,0.7,0.1,0.5,0.77,,8,Addon/Example class
TransformControls,threejs-docs,Addons,Controls,api,https://threejs.org/docs/#examples/en/controls/TransformControls,Addon/Example class,Ritual,interaction,0.7,0.7,0.1,0.5,0.77,,8,Addon/Example class
RoundedBoxGeometry,threejs-docs,Addons,Geometries,api,https://threejs.org/docs/#examples/en/geometries/RoundedBoxGeometry,Addon/Example class,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,2,Addon/Example class
Line2,threejs-docs,Addons,Lines,api,https://threejs.org/docs/#examples/en/lines/Line2,Addon/Example class,Constellation,rendering,0.7,0.7,0.1,0.5,0.77,LineMaterial|LineGeometry|LineSegments2,8,Addon/Example class
LineGeometry,threejs-docs,Addons,Lines,api,https://threejs.org/docs/#examples/en/lines/LineGeometry,Addon/Example class,Constellation,geometry,0.7,0.7,0.1,0.5,0.77,,8,Addon/Example class
LineMaterial,threejs-docs,Addons,Lines,api,https://threejs.org/docs/#examples/en/lines/LineMaterial,Addon/Example class,Constellation|Orbs,materials,0.7,0.7,0.1,0.5,0.77,,8,Addon/Example class
Wireframe,threejs-docs,Addons,Lines,api,https://threejs.org/docs/#examples/en/lines/Wireframe,Addon/Example class,Constellation,rendering,0.7,0.7,0.1,0.5,0.77,WireframeGeometry2|EdgesGeometry|LineSegments,8,Addon/Example class
SVGLoader,threejs-docs,Addons,Loaders,api,https://threejs.org/docs/#examples/en/loaders/SVGLoader,Addon/Example class,Wall,loading,0.7,0.7,0.1,0.5,0.77,,3,Addon/Example class
KTX2Loader,threejs-docs,Addons,Loaders,api,https://threejs.org/docs/#examples/en/loaders/KTX2Loader,Addon/Example class,Orbs,loading,0.7,0.7,0.1,0.5,0.77,,12,Addon/Example class
EXRLoader,threejs-docs,Addons,Loaders,api,https://threejs.org/docs/#examples/en/loaders/EXRLoader,Addon/Example class,Ritual,loading|xr,0.7,0.7,0.1,0.5,0.77,,12,Addon/Example class
HDRLoader,threejs-docs,Addons,Loaders,api,https://threejs.org/docs/#examples/en/loaders/HDRLoader,Addon/Example class,Orbs,loading,0.7,0.7,0.1,0.5,0.77,,12,Addon/Example class
GPUComputationRenderer,threejs-docs,Addons,Misc,api,https://threejs.org/docs/#examples/en/misc/GPUComputationRenderer,Addon/Example class,Orbs,rendering,0.7,0.7,0.1,0.5,0.77,,14,Addon/Example class
Lensflare,threejs-docs,Addons,Objects,api,https://threejs.org/docs/#examples/en/objects/Lensflare,Addon/Example class,Ritual,geometry|lighting|xr,0.7,0.7,0.1,0.5,0.77,,21,Addon/Example class
MarchingCubes,threejs-docs,Addons,Objects,api,https://threejs.org/docs/#examples/en/objects/MarchingCubes,Addon/Example class,Ritual,geometry|xr,0.7,0.7,0.1,0.5,0.77,,7,Addon/Example class
Reflector,threejs-docs,Addons,Objects,api,https://threejs.org/docs/#examples/en/objects/Reflector,Addon/Example class,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,Refractor|Water|Mesh,5,Addon/Example class
Sky,threejs-docs,Addons,Objects,api,https://threejs.org/docs/#examples/en/objects/Sky,Addon/Example class,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,SkyMesh|ShaderMaterial|DirectionalLight,2,Addon/Example class
SkyMesh,threejs-docs,Addons,Objects,api,https://threejs.org/docs/#examples/en/objects/SkyMesh,Addon/Example class,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,2,Addon/Example class
Water,threejs-docs,Addons,Objects,api,https://threejs.org/docs/#examples/en/objects/Water,Addon/Example class,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,WaterMesh|Reflector|ShaderMaterial,7,Addon/Example class
WaterMesh,threejs-docs,Addons,Objects,api,https://threejs.org/docs/#examples/en/objects/WaterMesh,Addon/Example class,Orbs,geometry,0.7,0.7,0.1,0.5,0.77,,7,Addon/Example class
AmmoPhysics,threejs-docs,Addons,Physics,api,https://threejs.org/docs/#examples/en/physics/AmmoPhysics,Addon/Example class,Orbs,physics,0.7,0.7,0.1,0.5,0.77,,13,Addon/Example class
JoltPhysics,threejs-docs,Addons,Physics,api,https://threejs.org/docs/#examples/en/physics/JoltPhysics,Addon/Example class,Orbs,physics,0.7,0.7,0.1,0.5,0.77,,13,Addon/Example class
RapierPhysics,threejs-docs,Addons,Physics,api,https://threejs.org/docs/#examples/en/physics/RapierPhysics,Addon/Example class,Orbs,physics,0.7,0.7,0.1,0.5,0.77,,13,Addon/Example class
ShaderPass,threejs-docs,Addons,Postprocessing,api,https://threejs.org/docs/#examples/en/postprocessing/ShaderPass,Addon/Example class,Orbs,materials|postprocessing|rendering,0.7,0.7,0.1,0.5,0.77,,19,Addon/Example class
SMAAPass,threejs-docs,Addons,Postprocessing,api,https://threejs.org/docs/#examples/en/postprocessing/SMAAPass,Addon/Example class,Orbs,postprocessing,0.7,0.7,0.1,0.5,0.77,,19,Addon/Example class
GTAOPass,threejs-docs,Addons,Postprocessing,api,https://threejs.org/docs/#examples/en/postprocessing/GTAOPass,Addon/Example class,Orbs,postprocessing,0.7,0.7,0.1,0.5,0.77,,19,Addon/Example class
BokehPass,threejs-docs,Addons,Postprocessing,api,https://threejs.org/docs/#examples/en/postprocessing/BokehPass,Addon/Example class,Orbs,postprocessing,0.7,0.7,0.1,0.5,0.77,,19,Addon/Example class
OutlinePass,threejs-docs,Addons,Postprocessing,api,https://threejs.org/docs/#examples/en/postprocessing/OutlinePass,Addon/Example class,Constellation|Orbs,postprocessing,0.7,0.7,0.1,0.5,0.77,,19,Addon/Example class
SSRPass,threejs-docs,Addons,Postprocessing,api,https://threejs.org/docs/#examples/en/postprocessing/SSRPass,Addon/Example class,Orbs,postprocessing,0.7,0.7,0.1,0.5,0.77,,19,Addon/Example class
OutputPass,threejs-docs,Addons,Postprocessing,api,https://threejs.org/docs/#examples/en/postprocessing/OutputPass,Addon/Example class,Orbs,postprocessing,0.7,0.7,0.1,0.5,0.77,,2,Addon/Example class
CSS2DObject,threejs-docs,Addons,Renderers,api,https://threejs.org/docs/#examples/en/renderers/CSS2DObject,Addon/Example class,Wall,css3d|loading|rendering,0.7,0.7,0.1,0.5,0.77,,1,Addon/Example class
CSS2DRenderer,threejs-docs,Addons,Renderers,api,https://threejs.org/docs/#examples/en/renderers/CSS2DRenderer,Addon/Example class,Wall,css3d|rendering,0.7,0.7,0.1,0.5,0.77,CSS2DObject|CSS3DRenderer|WebGLRenderer,1,Addon/Example class
CSS3DObject,threejs-docs,Addons,Renderers,api,https://threejs.org/docs/#examples/en/renderers/CSS3DObject,Addon/Example class,Wall,css3d|loading|rendering,0.7,0.7,0.1,0.5,0.77,,7,Addon/Example class
FXAANode,threejs-docs,Addons,TSL,api,https://threejs.org/docs/#examples/en/tsl/FXAANode,Three.js Shader Language node,Orbs,postprocessing,0.7,0.7,0.1,0.5,0.77,,19,Three.js Shader Language node
GTAONode,threejs-docs,Addons,TSL,api,https://threejs.org/docs/#examples/en/tsl/GTAONode,Three.js Shader Language node,Orbs,postprocessing,0.7,0.7,0.1,0.5,0.77,,19,Three.js Shader Language node
GaussianBlurNode,threejs-docs,Addons,TSL,api,https://threejs.org/docs/#examples/en/tsl/GaussianBlurNode,Three.js Shader Language node,Orbs,postprocessing,0.7,0.7,0.1,0.5,0.77,,19,Three.js Shader Language node
SSRNode,threejs-docs,Addons,TSL,api,https://threejs.org/docs/#examples/en/tsl/SSRNode,Three.js Shader Language node,Orbs,postprocessing,0.7,0.7,0.1,0.5,0.77,,19,Three.js Shader Language node
ARButton,threejs-docs,Addons,Webxr,api,https://threejs.org/docs/#examples/en/webxr/ARButton,Addon/Example class,Ritual,xr,0.7,0.7,0.1,0.5,0.77,,19,Addon/Example class
VRButton,threejs-docs,Addons,Webxr,api,https://threejs.org/docs/#examples/en/webxr/VRButton,Addon/Example class,Ritual,xr,0.7,0.7,0.1,0.5,0.77,,19,Addon/Example class
XRButton,threejs-docs,Addons,Webxr,api,https://threejs.org/docs/#examples/en/webxr/XRButton,Addon/Example class,Ritual,xr,0.7,0.7,0.1,0.5,0.77,,19,Addon/Example class
NodeMaterial,threejs-docs,Materials,Node,api,https://threejs.org/docs/#api/en/materials/NodeMaterial,Base class for node-based shader materials,Orbs,node,0.7,0.7,0.1,0.5,0.77,,0,Base class for node-based shader materials
AudioParamMap,web-audio,Web Audio API,Parameter,api,https://developer.mozilla.org/en-US/docs/Web/API/AudioParamMap,Map-like interface providing access to a group of AudioParam objects,Orbs,,0.8,0.5,0.0,0.3,0.77,AudioWorkletNode|AudioParam,0,Used with AudioWorkletNode
heatmap.js,awesome-js,Canvas,Heatmap,library,https://www.patrick-wied.at/static/heatmapjs/,HTML5 canvas-based heatmaps,Constellation,canvas|heatmap|visualization,0.7,0.6,0.0,0.3,0.76,,0,Data visualization overlay
CanvasJS,awesome-js,Data Visualization,Charts,library,https://canvasjs.com/,Responsive HTML5 charting with high performance,Wall,charts|canvas|performance,0.7,0.6,0.0,0.3,0.76,,0,Performance-focused charts
